time,Latitude,Longitude
234947,4202.1145,7141.7858
234948,4202.1146,7141.7858
234949,4202.1146,7141.7858
234950,4202.1147,7141.7859
234951,4202.1146,7141.7859
234952,4202.1146,7141.7859
234953,4202.1146,7141.786
234954,4202.1146,7141.786
234955,4202.1145,7141.7861
234956,4202.1145,7141.7861
234957,4202.1144,7141.7861
234958,4202.1143,7141.7861
234959,4202.1142,7141.7861
235000,4202.1142,7141.7861
235001,4202.1141,7141.7862
235002,4202.114,7141.7862
235003,4202.1139,7141.7863
235004,4202.1139,7141.7863
235005,4202.1138,7141.7863
235006,4202.1137,7141.7863
235007,4202.1137,7141.7863
235008,4202.1136,7141.7863
235009,4202.1136,7141.7862
235010,4202.1136,7141.7862
235011,4202.1136,7141.7862
235012,4202.1136,7141.7862
235013,4202.1136,7141.7862
235014,4202.1136,7141.7862
235015,4202.1136,7141.7862
235016,4202.1136,7141.7862
235017,4202.1136,7141.7862
235018,4202.1136,7141.7862
235019,4202.1136,7141.7862
235020,4202.1136,7141.7862
235021,4202.1136,7141.7862
235022,4202.1136,7141.7862
235023,4202.1136,7141.7862
235024,4202.1136,7141.7862
235025,4202.1136,7141.7862
235026,4202.1136,7141.7862
235027,4202.1136,7141.7862
235028,4202.1136,7141.7862
235029,4202.1136,7141.7862
235030,4202.1136,7141.7862
235031,4202.1136,7141.7862
235032,4202.1136,7141.7862
235033,4202.1136,7141.7862
235034,4202.1136,7141.7862
235035,4202.1136,7141.7862
235036,4202.1136,7141.7862
235037,4202.1136,7141.7862
235038,4202.1136,7141.7862
235039,4202.1136,7141.7862
235040,4202.1136,7141.7862
235041,4202.1136,7141.7862
235042,4202.1136,7141.7862
235043,4202.1136,7141.7862
235044,4202.1136,7141.7862
235045,4202.1136,7141.7862
235046,4202.1136,7141.7862
235047,4202.1136,7141.7862
235048,4202.1136,7141.7862
235049,4202.1136,7141.7862
235050,4202.1136,7141.7862
235051,4202.1136,7141.7862
235052,4202.1136,7141.7862
235053,4202.1136,7141.7862
235054,4202.1136,7141.7862
235055,4202.1136,7141.7862
235056,4202.1136,7141.7862
235057,4202.1136,7141.7862
235058,4202.1136,7141.7862
235059,4202.1136,7141.7862
235100,4202.1136,7141.7862
235101,4202.1136,7141.7862
235102,4202.1136,7141.7862
235103,4202.1136,7141.7862
235104,4202.1136,7141.7862
235105,4202.1136,7141.7862
235106,4202.1136,7141.7862
235107,4202.1136,7141.7862
235108,4202.1136,7141.7862
235109,4202.1136,7141.7862
235110,4202.1136,7141.7862
235111,4202.1136,7141.7862
235112,4202.1136,7141.7862
235113,4202.1135,7141.7862
235114,4202.1135,7141.7862
235115,4202.1135,7141.7861
235116,4202.1135,7141.7861
235117,4202.1135,7141.786
235118,4202.1135,7141.786
235119,4202.1135,7141.786
235120,4202.1135,7141.786
235121,4202.1134,7141.786
235122,4202.1134,7141.7859
235123,4202.1134,7141.7859
235124,4202.1134,7141.7859
235125,4202.1134,7141.7859
235126,4202.1134,7141.7859
235127,4202.1134,7141.7859
235128,4202.1134,7141.7859
235129,4202.1134,7141.7859
235130,4202.1135,7141.7859
235131,4202.1135,7141.7859
235132,4202.1135,7141.7859
235133,4202.1136,7141.7858
235134,4202.1136,7141.7858
235135,4202.1137,7141.7858
235136,4202.1137,7141.7857
235137,4202.1138,7141.7857
235138,4202.1138,7141.7856
235139,4202.1139,7141.7856
235140,4202.1139,7141.7856
235141,4202.1139,7141.7856
235142,4202.114,7141.7856
235143,4202.114,7141.7856
235144,4202.114,7141.7856
235145,4202.114,7141.7855
235146,4202.114,7141.7855
235147,4202.1141,7141.7855
235148,4202.1141,7141.7854
235149,4202.1141,7141.7854
235150,4202.1141,7141.7853
235151,4202.1142,7141.7853
235152,4202.1142,7141.7853
235153,4202.1142,7141.7853
235154,4202.1142,7141.7853
235155,4202.1142,7141.7854
235156,4202.1142,7141.7854
235157,4202.1142,7141.7854
235158,4202.1142,7141.7854
235159,4202.1142,7141.7854
235200,4202.1142,7141.7854
235201,4202.1142,7141.7854
235202,4202.1142,7141.7854
235203,4202.1142,7141.7854
235204,4202.1142,7141.7854
235205,4202.1142,7141.7854
235206,4202.1142,7141.7854
235207,4202.1142,7141.7854
235208,4202.1142,7141.7854
235209,4202.1142,7141.7854
235210,4202.1142,7141.7854
235211,4202.1142,7141.7854
235212,4202.1142,7141.7854
235213,4202.1142,7141.7854
235214,4202.1142,7141.7854
235215,4202.1142,7141.7854
235216,4202.1142,7141.7854
235217,4202.1142,7141.7854
235218,4202.1142,7141.7854
235219,4202.1142,7141.7854
235220,4202.1142,7141.7854
235221,4202.1142,7141.7854
235222,4202.1142,7141.7854
235223,4202.1142,7141.7854
235224,4202.1142,7141.7854
235225,4202.1142,7141.7854
235226,4202.1142,7141.7854
235227,4202.1142,7141.7854
235228,4202.1142,7141.7854
235229,4202.1142,7141.7854
235230,4202.1142,7141.7854
235231,4202.1142,7141.7854
235232,4202.1142,7141.7854
235233,4202.1142,7141.7854
235234,4202.1142,7141.7854
235235,4202.1142,7141.7854
235236,4202.1142,7141.7854
235237,4202.1142,7141.7854
235238,4202.1142,7141.7854
235239,4202.1142,7141.7854
235240,4202.1142,7141.7854
235241,4202.1142,7141.7854
235242,4202.1142,7141.7854
235243,4202.1142,7141.7854
235244,4202.1142,7141.7854
235245,4202.1142,7141.7854
235246,4202.1142,7141.7854
235247,4202.1142,7141.7854
235248,4202.1142,7141.7854
235249,4202.1142,7141.7854
235250,4202.1142,7141.7854
235251,4202.1142,7141.7854
235252,4202.1142,7141.7854
235253,4202.1142,7141.7854
235254,4202.1142,7141.7854
235255,4202.1142,7141.7854
235256,4202.1142,7141.7854
235257,4202.1142,7141.7854
235258,4202.1142,7141.7854
235259,4202.1142,7141.7854
235300,4202.1142,7141.7854
235301,4202.1142,7141.7854
235302,4202.1142,7141.7854
235303,4202.1142,7141.7854
235304,4202.1142,7141.7854
235305,4202.1142,7141.7854
235306,4202.1142,7141.7854
235307,4202.1142,7141.7854
235308,4202.1142,7141.7854
235309,4202.1142,7141.7854
235310,4202.1142,7141.7854
235311,4202.1142,7141.7854
235312,4202.1142,7141.7854
235313,4202.1142,7141.7854
235314,4202.1142,7141.7854
235315,4202.1142,7141.7854
235316,4202.1142,7141.7854
235317,4202.1142,7141.7854
235318,4202.1142,7141.7854
235319,4202.1142,7141.7854
235320,4202.1142,7141.7854
235321,4202.1142,7141.7854
235322,4202.1142,7141.7854
235323,4202.1142,7141.7854
235324,4202.1142,7141.7854
235325,4202.1142,7141.7854
235326,4202.1142,7141.7854
235327,4202.1142,7141.7854
235328,4202.1142,7141.7854
235329,4202.1142,7141.7854
235330,4202.1142,7141.7854
235331,4202.1142,7141.7854
235332,4202.1142,7141.7854
235333,4202.1142,7141.7854
235334,4202.1142,7141.7854
235335,4202.1142,7141.7854
235336,4202.1142,7141.7854
235337,4202.1142,7141.7854
235338,4202.1142,7141.7854
235339,4202.1142,7141.7854
235340,4202.1142,7141.7854
235341,4202.1142,7141.7854
235342,4202.1142,7141.7854
235343,4202.1142,7141.7854
235344,4202.1142,7141.7854
235345,4202.1142,7141.7854
235346,4202.1142,7141.7854
235347,4202.1142,7141.7854
235348,4202.1142,7141.7854
235349,4202.1142,7141.7854
235350,4202.1142,7141.7854
235351,4202.1142,7141.7854
235352,4202.1142,7141.7854
235353,4202.1142,7141.7854
235354,4202.1142,7141.7854
235355,4202.1142,7141.7854
235356,4202.1142,7141.7854
235357,4202.1142,7141.7854
235358,4202.1142,7141.7854
235359,4202.1142,7141.7854
235400,4202.1142,7141.7854
235401,4202.1142,7141.7854
235402,4202.1142,7141.7854
235403,4202.1142,7141.7854
235404,4202.1142,7141.7854
235405,4202.1142,7141.7854
235406,4202.1142,7141.7854
235407,4202.1142,7141.7854
235408,4202.1142,7141.7854
235409,4202.1142,7141.7854
235410,4202.1142,7141.7854
235411,4202.1142,7141.7854
235412,4202.1142,7141.7854
235413,4202.1142,7141.7854
235414,4202.1142,7141.7854
235415,4202.1142,7141.7854
235416,4202.1142,7141.7854
235417,4202.1142,7141.7854
235418,4202.1142,7141.7854
235419,4202.1142,7141.7854
235420,4202.1142,7141.7854
235421,4202.1142,7141.7854
235422,4202.1142,7141.7854
235423,4202.1142,7141.7854
235424,4202.1142,7141.7854
235425,4202.1142,7141.7854
235426,4202.1142,7141.7854
235427,4202.1142,7141.7854
235428,4202.1142,7141.7854
235429,4202.1142,7141.7854
235430,4202.1142,7141.7854
235431,4202.1142,7141.7854
235432,4202.1142,7141.7854
235433,4202.1142,7141.7854
235434,4202.1142,7141.7854
235435,4202.1142,7141.7854
235436,4202.1142,7141.7854
235437,4202.1142,7141.7854
235438,4202.1142,7141.7854
235439,4202.1142,7141.7854
235440,4202.1142,7141.7854
235441,4202.1142,7141.7854
235442,4202.1142,7141.7854
235443,4202.1142,7141.7854
235444,4202.1142,7141.7854
235445,4202.1142,7141.7854
235446,4202.1142,7141.7854
235447,4202.1142,7141.7854
235448,4202.1142,7141.7854
235449,4202.1142,7141.7854
235450,4202.1142,7141.7854
235451,4202.1142,7141.7854
235452,4202.1142,7141.7854
235453,4202.1142,7141.7854
235454,4202.1142,7141.7854
235455,4202.1142,7141.7854
235456,4202.1142,7141.7854
235457,4202.1142,7141.7854
235458,4202.1142,7141.7854
235459,4202.1142,7141.7854
235500,4202.1142,7141.7854
235501,4202.1142,7141.7854
235502,4202.1142,7141.7854
235503,4202.1142,7141.7854
235504,4202.1142,7141.7854
235505,4202.1142,7141.7854
235506,4202.1142,7141.7854
235507,4202.1142,7141.7854
235508,4202.1142,7141.7854
235509,4202.1142,7141.7854
235510,4202.1142,7141.7854
235511,4202.1142,7141.7854
235512,4202.1142,7141.7854
235513,4202.1142,7141.7854
235514,4202.1142,7141.7854
235515,4202.1142,7141.7854
235516,4202.1142,7141.7854
235517,4202.1142,7141.7854
235518,4202.1142,7141.7854
235519,4202.1142,7141.7854
235520,4202.1142,7141.7854
235521,4202.1142,7141.7854
235522,4202.1142,7141.7854
235523,4202.1142,7141.7854
235524,4202.1142,7141.7854
235525,4202.1142,7141.7854
235526,4202.1142,7141.7853
235527,4202.1142,7141.7853
235528,4202.1142,7141.7853
235529,4202.1142,7141.7853
235530,4202.1142,7141.7853
235531,4202.1142,7141.7853
235532,4202.1142,7141.7853
235533,4202.1142,7141.7853
235534,4202.1142,7141.7853
235535,4202.1142,7141.7853
235536,4202.1142,7141.7853
235537,4202.1142,7141.7853
235538,4202.1142,7141.7853
235539,4202.1142,7141.7853
235540,4202.1142,7141.7853
235541,4202.1142,7141.7853
235542,4202.1142,7141.7853
235543,4202.1142,7141.7853
235544,4202.1142,7141.7853
235545,4202.1142,7141.7853
235546,4202.1142,7141.7853
235547,4202.1142,7141.7853
235548,4202.1142,7141.7853
235549,4202.1142,7141.7853
235550,4202.1142,7141.7853
235551,4202.1142,7141.7853
235552,4202.1142,7141.7853
235553,4202.1142,7141.7853
235554,4202.1142,7141.7853
235555,4202.1142,7141.7853
235556,4202.1142,7141.7853
235557,4202.1142,7141.7853
235558,4202.1142,7141.7853
235559,4202.1142,7141.7853
235600,4202.1142,7141.7853
235601,4202.1142,7141.7853
235602,4202.1142,7141.7853
235603,4202.1142,7141.7853
235604,4202.1142,7141.7853
235605,4202.1142,7141.7853
235606,4202.1142,7141.7853
235607,4202.1142,7141.7853
235608,4202.1142,7141.7853
235609,4202.1142,7141.7853
235610,4202.1142,7141.7853
235611,4202.1142,7141.7853
235612,4202.1142,7141.7853
235613,4202.1142,7141.7853
235614,4202.1142,7141.7853
235615,4202.1142,7141.7853
235616,4202.1142,7141.7853
235617,4202.1142,7141.7853
235618,4202.1142,7141.7853
235619,4202.1142,7141.7853
235620,4202.1142,7141.7853
235621,4202.1142,7141.7853
235622,4202.1142,7141.7853
235623,4202.1142,7141.7853
235624,4202.1142,7141.7853
235625,4202.1142,7141.7853
235626,4202.1142,7141.7853
235627,4202.1142,7141.7853
235628,4202.1142,7141.7853
235629,4202.1142,7141.7853
235630,4202.1142,7141.7853
235631,4202.1142,7141.7853
235632,4202.1142,7141.7853
235633,4202.1142,7141.7853
235634,4202.1142,7141.7853
235635,4202.1142,7141.7853
235636,4202.1142,7141.7853
235637,4202.1142,7141.7853
235638,4202.1142,7141.7853
235639,4202.1142,7141.7853
235640,4202.1142,7141.7853
235641,4202.1142,7141.7853
235642,4202.1142,7141.7853
235643,4202.1142,7141.7853
235644,4202.1142,7141.7853
235645,4202.1142,7141.7853
235646,4202.1142,7141.7853
235647,4202.1142,7141.7853
235648,4202.1142,7141.7853
235649,4202.1142,7141.7853
235650,4202.1142,7141.7853
235651,4202.1142,7141.7853
235652,4202.1142,7141.7853
235653,4202.1141,7141.7853
235654,4202.1141,7141.7853
235655,4202.1141,7141.7853
235656,4202.1141,7141.7853
235657,4202.1141,7141.7853
235658,4202.1141,7141.7853
235659,4202.1141,7141.7853
235700,4202.1141,7141.7853
235701,4202.1141,7141.7853
235702,4202.1141,7141.7853
235703,4202.1141,7141.7853
235704,4202.1141,7141.7853
235705,4202.1141,7141.7853
235706,4202.1141,7141.7853
235707,4202.1141,7141.7853
235708,4202.1141,7141.7853
235709,4202.1141,7141.7853
235710,4202.1141,7141.7853
235711,4202.1141,7141.7853
235712,4202.1141,7141.7853
235713,4202.1141,7141.7853
235714,4202.1141,7141.7853
235715,4202.1141,7141.7853
235716,4202.1141,7141.7853
235717,4202.1141,7141.7853
235718,4202.1141,7141.7853
235719,4202.1141,7141.7853
235720,4202.1141,7141.7853
235721,4202.1141,7141.7853
235722,4202.1141,7141.7853
235723,4202.1141,7141.7853
235724,4202.1142,7141.7853
235725,4202.1141,7141.7853
235726,4202.1142,7141.7853
235727,4202.1142,7141.7853
235728,4202.1142,7141.7853
235729,4202.1142,7141.7853
235730,4202.1142,7141.7853
235731,4202.1142,7141.7853
235732,4202.1142,7141.7853
235733,4202.1142,7141.7853
235734,4202.1142,7141.7853
235735,4202.1142,7141.7853
235736,4202.1142,7141.7853
235737,4202.1142,7141.7853
235738,4202.1142,7141.7853
235739,4202.1142,7141.7853
235740,4202.1142,7141.7853
235741,4202.1142,7141.7853
235742,4202.1142,7141.7853
235743,4202.1142,7141.7853
235744,4202.1142,7141.7853
235745,4202.1142,7141.7853
235746,4202.1142,7141.7853
235747,4202.1142,7141.7853
235748,4202.1142,7141.7853
235749,4202.1142,7141.7853
235750,4202.1142,7141.7853
235751,4202.1142,7141.7853
235752,4202.1142,7141.7853
235753,4202.1142,7141.7853
235754,4202.1142,7141.7853
235755,4202.1142,7141.7853
235756,4202.1142,7141.7853
235757,4202.1142,7141.7853
235758,4202.1142,7141.7853
235759,4202.1142,7141.7853
235800,4202.1142,7141.7853
235801,4202.1142,7141.7853
235802,4202.1142,7141.7853
235803,4202.1142,7141.7853
235804,4202.1142,7141.7853
235805,4202.1142,7141.7853
235806,4202.1142,7141.7853
235807,4202.1142,7141.7853
235808,4202.1142,7141.7853
235809,4202.1142,7141.7853
235810,4202.1142,7141.7853
235811,4202.1142,7141.7853
235812,4202.1142,7141.7853
235813,4202.1142,7141.7853
235814,4202.1142,7141.7853
235815,4202.1142,7141.7853
235816,4202.1142,7141.7853
235817,4202.1142,7141.7853
235818,4202.1142,7141.7853
235819,4202.1142,7141.7853
235820,4202.1142,7141.7853
235821,4202.1142,7141.7853
235822,4202.1142,7141.7853
235823,4202.1142,7141.7853
235824,4202.1142,7141.7853
235825,4202.1142,7141.7853
235826,4202.1142,7141.7853
235827,4202.1142,7141.7853
235828,4202.1142,7141.7853
235829,4202.1142,7141.7853
235830,4202.1142,7141.7853
235831,4202.1142,7141.7853
235832,4202.1142,7141.7853
235833,4202.1142,7141.7853
235834,4202.1142,7141.7853
235835,4202.1142,7141.7853
235836,4202.1142,7141.7853
235837,4202.1142,7141.7853
235838,4202.1142,7141.7853
235839,4202.1142,7141.7853
235840,4202.1142,7141.7853
235841,4202.1142,7141.7853
235842,4202.1142,7141.7853
235843,4202.1142,7141.7853
235844,4202.1142,7141.7853
235845,4202.1142,7141.7853
235846,4202.1142,7141.7853
235847,4202.1142,7141.7853
235848,4202.1142,7141.7853
235849,4202.1142,7141.7853
235850,4202.1142,7141.7853
235851,4202.1142,7141.7853
235852,4202.1142,7141.7853
235853,4202.1142,7141.7853
235854,4202.1142,7141.7853
235855,4202.1142,7141.7853
235856,4202.1142,7141.7853
235857,4202.1142,7141.7853
235858,4202.1142,7141.7853
235859,4202.1142,7141.7853
235900,4202.1142,7141.7853
235901,4202.1142,7141.7853
235902,4202.1142,7141.7853
235903,4202.1142,7141.7853
235904,4202.1142,7141.7853
235905,4202.1142,7141.7853
235906,4202.1142,7141.7853
235907,4202.1142,7141.7853
235908,4202.1142,7141.7853
235909,4202.1142,7141.7853
235910,4202.1142,7141.7853
235911,4202.1142,7141.7853
235912,4202.1142,7141.7853
235913,4202.1142,7141.7853
235914,4202.1142,7141.7853
235915,4202.1142,7141.7853
235916,4202.1142,7141.7853
235917,4202.1142,7141.7853
235918,4202.1142,7141.7853
235919,4202.1142,7141.7853
235920,4202.1142,7141.7853
235921,4202.1142,7141.7853
235922,4202.1142,7141.7853
235923,4202.1142,7141.7853
235924,4202.1142,7141.7853
235925,4202.1142,7141.7853
235926,4202.1142,7141.7853
235927,4202.1142,7141.7853
235928,4202.1142,7141.7853
235929,4202.1142,7141.7853
235930,4202.1142,7141.7853
235931,4202.1142,7141.7853
235932,4202.1142,7141.7853
235933,4202.1142,7141.7853
235934,4202.1142,7141.7853
235935,4202.1142,7141.7853
235936,4202.1142,7141.7853
235937,4202.1142,7141.7853
235938,4202.1142,7141.7853
235939,4202.1142,7141.7853
235940,4202.1142,7141.7853
235941,4202.1142,7141.7853
235942,4202.1142,7141.7853
235943,4202.1142,7141.7853
235944,4202.1142,7141.7853
235945,4202.1142,7141.7853
235946,4202.1142,7141.7853
235947,4202.1142,7141.7853
235948,4202.1142,7141.7853
235949,4202.1142,7141.7853
235950,4202.1142,7141.7853
235951,4202.1142,7141.7853
235952,4202.1142,7141.7853
235953,4202.1142,7141.7853
235954,4202.1142,7141.7853
235955,4202.1142,7141.7853
235956,4202.1142,7141.7853
235957,4202.1142,7141.7853
235958,4202.1142,7141.7853
235959,4202.1142,7141.7853
0,4202.1142,7141.7853
1,4202.1142,7141.7853
2,4202.1142,7141.7853
3,4202.1142,7141.7853
4,4202.1142,7141.7853
5,4202.1142,7141.7853
6,4202.1142,7141.7853
7,4202.1142,7141.7853
8,4202.1142,7141.7853
9,4202.1142,7141.7853
10,4202.1142,7141.7853
11,4202.1142,7141.7853
12,4202.1142,7141.7853
13,4202.1142,7141.7853
14,4202.1142,7141.7853
15,4202.1142,7141.7853
16,4202.1142,7141.7853
17,4202.1142,7141.7853
18,4202.1142,7141.7853
19,4202.1142,7141.7853
20,4202.1142,7141.7853
21,4202.1142,7141.7853
22,4202.1142,7141.7853
23,4202.1142,7141.7853
24,4202.1142,7141.7853
25,4202.1142,7141.7853
26,4202.1142,7141.7853
27,4202.1142,7141.7853
28,4202.1142,7141.7853
29,4202.1142,7141.7853
30,4202.1142,7141.7853
31,4202.1142,7141.7853
32,4202.1142,7141.7853
33,4202.1142,7141.7853
34,4202.1142,7141.7853
